order_id,delivery_partner_id,delivery_status,delivery_time_minutes,distance_km,reasons_if_delayed
3194733693,16623,Slightly Delayed,7.0,1.74,Traffic
4471162437,54708,On Time,0.0,3.78,
1609331948,58721,On Time,0.0,1.56,
6920030794,38745,On Time,-2.0,3.47,
5127172657,80034,Significantly Delayed,20.0,4.41,Traffic
8607115856,85718,On Time,-3.0,2.33,
7154957395,63099,On Time,0.0,2.28,
2070762702,64950,Slightly Delayed,15.0,3.61,Traffic
3697242439,67408,On Time,-1.0,4.71,
3063427913,24100,On Time,3.0,4.76,Traffic
2060061337,50748,Slightly Delayed,12.0,3.08,Traffic
4625892678,40337,On Time,4.0,2.74,Traffic
6045698170,16848,On Time,5.0,3.86,Traffic
7876289647,28786,Slightly Delayed,12.0,2.54,Traffic
3434084714,58201,On Time,-2.0,3.51,
9031695663,43200,Slightly Delayed,6.0,3.71,Traffic
1955989715,8135,On Time,2.0,4.81,Traffic
3459500455,20504,On Time,2.0,2.66,Traffic
5953376503,34929,Significantly Delayed,16.0,0.56,Traffic
121874867,69733,On Time,-5.0,3.08,
2460545397,50527,Slightly Delayed,11.0,2.53,Traffic
9690050839,76868,On Time,5.0,3.82,Traffic
2574349065,406,On Time,1.0,1.72,Traffic
2461936988,77590,Significantly Delayed,19.0,4.4,Traffic
6447596416,45656,On Time,-4.0,4.27,
7228452275,96211,On Time,0.0,4.62,
6696750742,89976,On Time,0.0,4.39,
822235931,1773,Slightly Delayed,15.0,1.42,Traffic
7678251499,60822,On Time,5.0,1.85,Traffic
2497341976,42711,On Time,1.0,1.33,Traffic
9107314128,21125,On Time,-1.0,2.2,
9855726256,59743,On Time,-2.0,0.96,
9398719862,4852,On Time,4.0,0.85,Traffic
379494532,99227,On Time,2.0,3.39,Traffic
1048784963,35552,On Time,-5.0,2.18,
4386246924,56384,Significantly Delayed,26.0,3.44,Traffic
2050362692,16076,On Time,3.0,3.48,Traffic
4142963293,74308,On Time,3.0,1.26,Traffic
9753528654,63454,On Time,-2.0,1.84,
8126970833,83636,Significantly Delayed,26.0,1.13,Traffic
9747814712,33342,On Time,3.0,1.23,Traffic
6281619403,12086,On Time,-5.0,4.51,
436184281,59936,Significantly Delayed,27.0,0.74,Traffic
9799231260,58378,On Time,4.0,0.9,Traffic
4071811527,27993,Slightly Delayed,9.0,2.39,Traffic
5645359563,45180,On Time,-5.0,4.78,
9411813703,32773,On Time,5.0,0.65,Traffic
4270217473,4904,On Time,0.0,1.23,
279851011,73623,On Time,-1.0,4.34,
6260524887,22883,On Time,-4.0,3.76,
5853998391,23606,On Time,-3.0,4.67,
9931976872,97297,On Time,-4.0,3.03,
8432209832,18907,Slightly Delayed,12.0,4.17,Traffic
6023721507,72197,On Time,-1.0,2.05,
3042338919,70995,On Time,-3.0,1.33,
233646065,56968,On Time,5.0,4.89,Traffic
9870610018,44706,On Time,-1.0,0.86,
1398230967,92744,On Time,-4.0,4.81,
8615488922,1328,Significantly Delayed,21.0,3.94,Traffic
2748841057,11008,Significantly Delayed,24.0,0.84,Traffic
1375867721,21511,On Time,-3.0,4.45,
8595141097,19332,On Time,3.0,4.33,Traffic
4673382071,97477,Slightly Delayed,9.0,4.9,Traffic
2948696008,89164,On Time,-3.0,2.28,
6839692624,44627,Significantly Delayed,25.0,1.17,Traffic
5770951298,4946,On Time,-2.0,0.95,
5084771819,66403,Slightly Delayed,13.0,1.37,Traffic
422403644,23782,Slightly Delayed,8.0,0.56,Traffic
7176758896,75492,On Time,1.0,2.94,Traffic
8252905093,40596,On Time,1.0,3.25,Traffic
1488561572,31495,On Time,-1.0,2.51,
6212984517,15665,On Time,-2.0,1.27,
6309784337,23009,On Time,0.0,4.05,
4613890018,82638,On Time,0.0,3.82,
3429728472,77476,Slightly Delayed,9.0,1.25,Traffic
267738904,73022,Slightly Delayed,14.0,4.28,Traffic
3850416839,32659,Slightly Delayed,13.0,1.32,Traffic
3412702479,35140,On Time,5.0,1.11,Traffic
2016183232,38755,Slightly Delayed,11.0,1.63,Traffic
3810280204,70290,On Time,4.0,0.75,Traffic
2416767295,28144,Slightly Delayed,9.0,1.13,Traffic
2283439407,58922,On Time,4.0,0.57,Traffic
4328802292,66985,Significantly Delayed,18.0,3.65,Traffic
7072715691,82046,On Time,1.0,3.65,Traffic
5640741373,20090,On Time,0.0,4.34,
6931094066,66225,On Time,-4.0,3.82,
3417088709,63738,Significantly Delayed,21.0,1.29,Traffic
4424404315,8506,On Time,4.0,2.43,Traffic
2444087306,75692,On Time,2.0,4.67,Traffic
486085268,90390,On Time,5.0,0.53,Traffic
1731312620,75316,On Time,-1.0,2.13,
6475582506,52304,On Time,4.0,2.09,Traffic
1868581378,38861,On Time,4.0,3.94,Traffic
8884235937,81977,Slightly Delayed,8.0,4.57,Traffic
4590662628,18200,Slightly Delayed,15.0,2.1,Traffic
992302540,12863,On Time,3.0,3.48,Traffic
7169974633,69861,On Time,-1.0,2.57,
6703651257,4285,On Time,3.0,2.43,Traffic
7180810221,59848,Slightly Delayed,9.0,0.51,Traffic
7875587578,40025,Slightly Delayed,10.0,3.53,Traffic
2578671497,64618,On Time,5.0,0.79,Traffic
6284350691,9053,On Time,0.0,4.5,
5383261788,94840,On Time,-4.0,2.11,
6590867973,23582,On Time,-1.0,0.73,
8787105023,54795,On Time,3.0,3.68,Traffic
1402916311,57649,On Time,4.0,2.72,Traffic
9715205272,21783,On Time,2.0,4.93,Traffic
3946852375,92389,On Time,0.0,4.04,
3367039425,72408,On Time,2.0,1.38,Traffic
687711388,44884,Slightly Delayed,12.0,1.67,Traffic
647012431,94183,Significantly Delayed,18.0,0.92,Traffic
7143278295,89680,On Time,-4.0,1.65,
9736844695,87624,On Time,-5.0,1.4,
5933289680,1722,Significantly Delayed,20.0,2.24,Traffic
9494303116,12071,On Time,5.0,3.87,Traffic
9337878102,15234,On Time,-4.0,0.63,
6872621077,42244,On Time,-5.0,3.42,
7330237253,18688,On Time,-1.0,3.63,
7942616242,76694,Significantly Delayed,25.0,4.96,Traffic
238520071,91088,On Time,3.0,1.92,Traffic
5812379362,68969,On Time,-4.0,4.52,
2616623847,43649,Slightly Delayed,15.0,4.33,Traffic
2040854480,11814,Significantly Delayed,25.0,2.48,Traffic
5456484560,32681,Significantly Delayed,25.0,3.76,Traffic
883309006,23074,Slightly Delayed,8.0,3.46,Traffic
6528341992,50910,Slightly Delayed,11.0,2.7,Traffic
3263203775,38308,On Time,-1.0,3.36,
3660010934,17404,On Time,5.0,2.74,Traffic
7944885043,16741,On Time,-2.0,2.23,
2506369831,62473,Slightly Delayed,13.0,4.07,Traffic
697061213,80729,On Time,3.0,1.48,Traffic
7079057004,16501,Significantly Delayed,22.0,3.58,Traffic
1556153632,45137,Slightly Delayed,9.0,0.75,Traffic
2161235338,96206,Slightly Delayed,9.0,4.68,Traffic
1247978468,30662,On Time,-1.0,1.56,
5437627061,39894,On Time,1.0,4.76,Traffic
9091960039,51540,On Time,0.0,2.76,
619198317,83654,On Time,-5.0,4.77,
9833179291,97223,On Time,-4.0,0.59,
4148760273,55805,On Time,3.0,4.35,Traffic
7206041763,1128,On Time,2.0,2.69,Traffic
690097648,92460,Slightly Delayed,10.0,1.87,Traffic
4197061567,48139,On Time,2.0,0.66,Traffic
2009394836,71878,On Time,-2.0,3.18,
277502363,18055,On Time,5.0,4.14,Traffic
4356959622,94308,On Time,-5.0,3.45,
174306009,35598,Significantly Delayed,27.0,1.41,Traffic
9582674091,16055,Significantly Delayed,22.0,3.55,Traffic
8675579025,13158,On Time,2.0,3.41,Traffic
5195999941,12987,Slightly Delayed,14.0,2.34,Traffic
5210007923,94672,On Time,1.0,2.16,Traffic
6595771960,72175,On Time,4.0,1.75,Traffic
4247338382,85815,Significantly Delayed,29.0,4.26,Traffic
819143326,73801,On Time,5.0,4.37,Traffic
3830844750,95930,On Time,-3.0,4.35,
1687314172,86120,On Time,3.0,3.7,Traffic
6756007265,48609,On Time,5.0,4.05,Traffic
489762747,93825,Significantly Delayed,26.0,3.26,Traffic
7509195875,96839,On Time,3.0,4.89,Traffic
2370917070,13883,On Time,5.0,2.92,Traffic
2055388266,80608,Slightly Delayed,8.0,1.43,Traffic
8969304162,67811,On Time,-1.0,1.66,
5412674107,15617,On Time,2.0,1.75,Traffic
1536516619,44378,On Time,5.0,2.48,Traffic
3858907413,29907,On Time,0.0,4.53,
4976389251,89142,On Time,-5.0,1.42,
2218319201,957,On Time,-1.0,3.58,
6729422433,99898,Slightly Delayed,6.0,2.81,Traffic
1354097448,10089,On Time,2.0,1.71,Traffic
8952275304,95373,On Time,0.0,1.27,
436603801,64535,On Time,-3.0,3.24,
5273875984,60888,Slightly Delayed,14.0,0.98,Traffic
9290203003,44829,On Time,5.0,1.9,Traffic
6240982373,16774,On Time,-3.0,0.97,
2718348206,66580,On Time,-4.0,2.16,
4903544026,7486,On Time,5.0,4.24,Traffic
2827266949,24708,Slightly Delayed,8.0,0.86,Traffic
4278423074,23667,On Time,3.0,1.71,Traffic
645916247,98927,Significantly Delayed,29.0,3.22,Traffic
5816647866,84702,Significantly Delayed,17.0,1.15,Traffic
7282397914,26008,On Time,5.0,2.19,Traffic
3260611473,28392,Significantly Delayed,18.0,2.73,Traffic
8638163868,29019,On Time,5.0,1.66,Traffic
177850987,61247,On Time,-3.0,2.9,
9653859166,72058,Slightly Delayed,14.0,0.95,Traffic
9991338690,50037,On Time,1.0,2.15,Traffic
1714593246,11180,On Time,2.0,1.89,Traffic
9742461226,16877,On Time,-3.0,1.16,
3314393477,37197,On Time,3.0,4.51,Traffic
4188317986,48031,Slightly Delayed,10.0,2.74,Traffic
1646665366,59753,Slightly Delayed,12.0,3.22,Traffic
9558804585,32740,Slightly Delayed,6.0,1.81,Traffic
9047652469,27774,On Time,-5.0,3.21,
2893800377,54327,On Time,-4.0,4.56,
6139157985,23927,Significantly Delayed,22.0,1.17,Traffic
6029394789,28593,Slightly Delayed,9.0,2.43,Traffic
5874940276,22218,On Time,-5.0,1.62,
5205211911,38835,Slightly Delayed,14.0,0.86,Traffic
5314758068,68342,Slightly Delayed,10.0,2.53,Traffic
484869710,41598,On Time,3.0,4.8,Traffic
9957728938,64839,Significantly Delayed,16.0,4.11,Traffic
3136056666,60976,Slightly Delayed,12.0,2.35,Traffic
4926104391,13060,Slightly Delayed,14.0,3.91,Traffic
1827844756,78517,On Time,3.0,1.67,Traffic
7032037874,59618,On Time,0.0,2.75,
3779230503,52785,On Time,-1.0,2.32,
3473012553,99684,Significantly Delayed,26.0,3.48,Traffic
7988504487,86506,On Time,-1.0,1.73,
7193792738,91241,On Time,4.0,2.36,Traffic
1533583386,40902,On Time,-3.0,4.03,
7750989397,42583,On Time,4.0,2.23,Traffic
4434816229,17469,On Time,-5.0,4.05,
6896732047,29664,On Time,-2.0,4.18,
4740837071,70,On Time,5.0,4.31,Traffic
6649631729,9599,On Time,-1.0,0.86,
5351526726,18337,On Time,-4.0,2.79,
1506082041,80462,On Time,-3.0,1.04,
1023260165,93967,On Time,0.0,3.36,
8257032403,71946,On Time,3.0,2.03,Traffic
7216524192,79713,On Time,-3.0,3.33,
8619795820,68794,Significantly Delayed,21.0,4.22,Traffic
6494708839,36208,On Time,1.0,4.68,Traffic
9859249765,19900,On Time,-3.0,4.49,
3528020011,32566,On Time,3.0,2.96,Traffic
5937934264,41221,Slightly Delayed,15.0,1.83,Traffic
2976477423,2591,On Time,0.0,2.26,
1002438039,52508,On Time,-1.0,1.4,
2571163022,59402,Slightly Delayed,14.0,4.14,Traffic
6850221497,43013,On Time,-5.0,3.02,
4706569127,74560,On Time,5.0,4.56,Traffic
8168261752,18998,Significantly Delayed,23.0,2.24,Traffic
5828325906,34564,On Time,-2.0,4.29,
5012271549,31783,Significantly Delayed,28.0,2.59,Traffic
8110316958,29001,On Time,-3.0,1.73,
3190808443,42099,On Time,-4.0,0.54,
7175472728,95658,On Time,0.0,4.77,
6011117738,8264,On Time,3.0,1.47,Traffic
5592928753,96131,Slightly Delayed,11.0,3.13,Traffic
3952040848,16761,On Time,-2.0,4.44,
7026479520,82300,On Time,2.0,3.2,Traffic
6572695161,11353,On Time,0.0,0.88,
9090769419,45133,On Time,-4.0,2.74,
5979489110,8681,On Time,2.0,1.9,Traffic
964698323,88842,On Time,5.0,2.87,Traffic
2304242664,76144,On Time,0.0,2.7,
2483843748,62504,On Time,3.0,0.78,Traffic
2560588609,48964,On Time,1.0,1.87,Traffic
9268920928,26193,On Time,4.0,1.7,Traffic
9554019312,24936,On Time,-5.0,3.54,
3749174258,32618,Slightly Delayed,11.0,2.28,Traffic
3947164241,82928,On Time,4.0,3.26,Traffic
487327038,84314,On Time,3.0,1.42,Traffic
8830321199,6336,Slightly Delayed,15.0,1.29,Traffic
3811318591,44363,On Time,-2.0,4.0,
6795601573,52656,On Time,-4.0,3.02,
2348495717,80421,On Time,0.0,3.49,
9505736584,32176,Significantly Delayed,18.0,2.92,Traffic
1857227304,24481,On Time,4.0,3.14,Traffic
5506485302,21250,On Time,-5.0,2.4,
6074837981,2837,On Time,-2.0,3.59,
4150569633,40413,Significantly Delayed,24.0,3.71,Traffic
609838437,34363,On Time,-5.0,1.66,
5229657139,96161,Slightly Delayed,13.0,2.36,Traffic
2589639350,90443,On Time,-3.0,3.06,
7656948165,8275,Slightly Delayed,13.0,2.72,Traffic
1806563605,16607,On Time,4.0,2.11,Traffic
359819834,70910,Significantly Delayed,29.0,1.31,Traffic
1908423841,62488,On Time,1.0,1.43,Traffic
299859815,62089,Slightly Delayed,10.0,4.11,Traffic
923659418,24003,On Time,1.0,2.11,Traffic
3560625119,64562,Slightly Delayed,10.0,2.61,Traffic
7111490680,9546,Slightly Delayed,8.0,1.85,Traffic
5766981431,55608,On Time,5.0,4.34,Traffic
8609945311,66475,On Time,-3.0,3.22,
1691260635,74826,On Time,4.0,3.43,Traffic
8742091504,69967,Slightly Delayed,13.0,3.54,Traffic
1997833025,77103,On Time,-2.0,2.37,
3588296877,73215,Significantly Delayed,25.0,3.92,Traffic
2404804990,38923,Slightly Delayed,9.0,3.6,Traffic
8091385479,66240,On Time,5.0,1.44,Traffic
7133174424,63462,On Time,1.0,1.38,Traffic
6110446321,60577,On Time,3.0,4.49,Traffic
6964586050,40358,On Time,-4.0,2.19,
2351986014,34744,Slightly Delayed,12.0,1.66,Traffic
352569720,23236,On Time,-5.0,4.29,
1235280275,90779,On Time,1.0,1.62,Traffic
9399859705,31133,On Time,-5.0,1.12,
7530379037,79485,On Time,5.0,4.3,Traffic
5952886441,23150,On Time,-2.0,3.27,
5815833211,78640,On Time,0.0,4.11,
7307394687,28767,On Time,-5.0,4.97,
6033014029,31624,Slightly Delayed,11.0,2.16,Traffic
1409944718,92890,On Time,3.0,4.11,Traffic
1811382200,97252,On Time,-4.0,1.62,
4485391413,91131,On Time,4.0,3.19,Traffic
4076279641,25713,Slightly Delayed,8.0,3.35,Traffic
2965387566,57502,On Time,5.0,3.9,Traffic
9397774189,38813,On Time,-3.0,3.57,
1437159967,69843,On Time,-1.0,0.58,
8397785448,99345,On Time,4.0,1.34,Traffic
2778606949,16105,On Time,0.0,2.56,
1774096863,51118,On Time,0.0,3.85,
1497256618,24651,On Time,3.0,3.64,Traffic
734095510,6790,On Time,3.0,4.78,Traffic
5755859055,8522,Significantly Delayed,17.0,1.07,Traffic
5840290569,92356,On Time,-1.0,4.15,
8200985533,92929,On Time,-3.0,4.54,
3255590064,88039,On Time,3.0,0.57,Traffic
4258404747,91951,On Time,-1.0,1.33,
2455161115,23471,On Time,0.0,0.68,
4448004569,49742,On Time,-5.0,1.77,
5951090793,35150,On Time,3.0,4.97,Traffic
7402491996,15459,On Time,2.0,1.19,Traffic
8532411923,82328,Slightly Delayed,7.0,4.22,Traffic
7130555385,48673,Slightly Delayed,12.0,4.26,Traffic
4338197132,9198,On Time,-4.0,4.4,
8044366071,31310,On Time,5.0,3.38,Traffic
4135251774,81045,On Time,-1.0,2.86,
6331483812,45259,Slightly Delayed,9.0,0.54,Traffic
6705171000,64847,On Time,0.0,4.31,
7850128898,29466,Significantly Delayed,17.0,3.07,Traffic
3602554049,77387,Significantly Delayed,19.0,1.84,Traffic
1070259187,61963,On Time,1.0,1.5,Traffic
8412338399,67313,Slightly Delayed,6.0,2.1,Traffic
1478022303,23035,On Time,-5.0,1.19,
2376108199,27586,On Time,4.0,4.27,Traffic
5243035202,1015,On Time,-4.0,2.6,
3687581971,63325,Slightly Delayed,13.0,4.62,Traffic
7008586055,67465,Significantly Delayed,18.0,3.94,Traffic
5142069216,60557,On Time,0.0,4.56,
4152441944,46535,On Time,-1.0,2.98,
5601670348,47213,Slightly Delayed,11.0,4.64,Traffic
605105099,39281,On Time,-2.0,2.32,
4054936140,5888,On Time,5.0,4.95,Traffic
8741892156,10769,Slightly Delayed,10.0,1.27,Traffic
9143640828,902,Slightly Delayed,8.0,0.83,Traffic
6900876252,80644,On Time,-5.0,0.55,
9801174908,33767,Slightly Delayed,8.0,2.38,Traffic
551343632,89726,On Time,2.0,0.79,Traffic
7961173808,3302,On Time,-5.0,0.58,
328909145,32899,On Time,4.0,1.52,Traffic
5551173528,16125,On Time,4.0,1.24,Traffic
4461788759,90986,On Time,5.0,3.67,Traffic
7256212429,87815,On Time,0.0,1.74,
9104077642,20446,On Time,-1.0,2.5,
2914056235,86053,On Time,0.0,2.9,
9127632807,72143,On Time,5.0,0.77,Traffic
6070154414,72709,On Time,5.0,1.12,Traffic
2318969828,37500,On Time,-3.0,1.54,
3813047994,90983,On Time,-4.0,4.11,
1416102774,99752,Slightly Delayed,13.0,3.89,Traffic
8086834412,90596,On Time,-2.0,2.96,
6193826826,81908,On Time,3.0,4.12,Traffic
8444509148,85993,On Time,1.0,2.07,Traffic
42332130,54725,On Time,-3.0,4.62,
6009342120,11837,Slightly Delayed,7.0,2.55,Traffic
4818516411,14473,On Time,-3.0,0.77,
1039229544,89340,On Time,-4.0,4.0,
1515943657,65345,On Time,4.0,2.85,Traffic
9183547951,76728,On Time,-1.0,3.84,
8478376092,68285,On Time,1.0,4.44,Traffic
1454073903,31737,Slightly Delayed,7.0,1.07,Traffic
2855402284,28578,On Time,3.0,1.43,Traffic
7245730533,51934,Slightly Delayed,13.0,3.72,Traffic
2272892659,68804,Slightly Delayed,11.0,3.17,Traffic
9087377568,37895,On Time,-1.0,0.61,
8443685057,52458,On Time,2.0,4.12,Traffic
1590988730,33843,On Time,0.0,1.82,
7357811417,7496,On Time,-1.0,2.74,
394951937,34174,On Time,5.0,2.64,Traffic
3967445448,61413,On Time,-1.0,1.0,
6101022928,8083,On Time,5.0,2.35,Traffic
6322372546,8035,Significantly Delayed,19.0,3.99,Traffic
9778782281,10170,Slightly Delayed,13.0,1.54,Traffic
3867563962,7531,On Time,-5.0,1.13,
9277710098,71248,Slightly Delayed,10.0,1.62,Traffic
7669322773,58926,On Time,2.0,4.08,Traffic
3917427529,26537,Slightly Delayed,15.0,3.25,Traffic
1934158144,30587,On Time,5.0,2.0,Traffic
3157338466,92146,On Time,-5.0,0.71,
9640662474,20774,Slightly Delayed,11.0,3.54,Traffic
2356272189,68709,On Time,1.0,1.61,Traffic
1380510406,52711,On Time,4.0,0.78,Traffic
8008377895,43415,Significantly Delayed,29.0,4.97,Traffic
3680678403,7068,On Time,1.0,1.06,Traffic
2847236502,97878,On Time,3.0,4.81,Traffic
5212392063,31900,On Time,-2.0,3.59,
3804024939,17974,On Time,1.0,3.59,Traffic
5395870775,66722,On Time,-4.0,4.3,
511736499,49116,On Time,5.0,1.88,Traffic
2895886759,67136,Slightly Delayed,6.0,2.56,Traffic
6638513435,33099,On Time,-3.0,2.01,
4168083780,55172,On Time,1.0,1.79,Traffic
2501516144,56299,On Time,-2.0,3.25,
7141387557,73154,On Time,-2.0,1.86,
2747350024,13307,On Time,-1.0,4.75,
9503407492,40500,Significantly Delayed,18.0,4.98,Traffic
4845607487,84614,On Time,3.0,3.65,Traffic
2051769691,58157,On Time,-5.0,0.58,
1092990139,53064,On Time,4.0,4.37,Traffic
5527612319,48508,On Time,0.0,1.13,
8852367079,5117,On Time,2.0,1.95,Traffic
1666202264,32884,Slightly Delayed,6.0,1.93,Traffic
8606484804,49631,Slightly Delayed,6.0,4.72,Traffic
8905341102,5762,On Time,-1.0,4.88,
5418735913,92033,On Time,-2.0,3.74,
970377475,2460,On Time,-1.0,3.62,
7320527109,76831,On Time,-1.0,1.77,
5120698,48582,Slightly Delayed,15.0,4.82,Traffic
3812396179,54016,On Time,-5.0,4.05,
8178951021,80840,Significantly Delayed,18.0,2.67,Traffic
2479115586,6845,On Time,4.0,2.28,Traffic
6239453389,63625,On Time,-4.0,4.5,
3136508414,94346,On Time,-3.0,4.05,
5521273487,98929,Significantly Delayed,26.0,1.94,Traffic
5445047872,66,On Time,5.0,1.85,Traffic
3678525130,82096,On Time,2.0,4.74,Traffic
9328056960,99744,Slightly Delayed,7.0,2.58,Traffic
2109203997,72612,Slightly Delayed,12.0,3.92,Traffic
556665455,18521,Significantly Delayed,27.0,2.43,Traffic
6573705785,13849,On Time,-4.0,4.68,
2609502403,70771,On Time,2.0,0.9,Traffic
1463293930,55394,On Time,-5.0,0.57,
8132887999,7931,Slightly Delayed,11.0,3.77,Traffic
7178789018,53062,On Time,-3.0,3.9,
2295700159,61371,Slightly Delayed,7.0,1.35,Traffic
9277089038,75267,Slightly Delayed,8.0,4.2,Traffic
145057465,2353,On Time,-5.0,1.62,
9452353274,4535,On Time,1.0,4.42,Traffic
5434328922,57029,On Time,-2.0,0.77,
3327051807,26018,On Time,3.0,0.96,Traffic
1461604569,49871,On Time,-1.0,3.85,
606518084,96049,On Time,0.0,4.31,
7637625389,47591,On Time,5.0,1.57,Traffic
7311621328,62428,Significantly Delayed,30.0,0.52,Traffic
8790217194,60118,Slightly Delayed,13.0,1.76,Traffic
1772445313,87117,On Time,3.0,1.4,Traffic
159394992,28600,On Time,1.0,2.13,Traffic
7992910755,85359,Significantly Delayed,28.0,1.99,Traffic
1786931285,76004,On Time,-4.0,3.08,
2225520858,13646,On Time,-2.0,3.21,
5635738740,49965,On Time,0.0,0.82,
2230824358,47833,Slightly Delayed,14.0,1.33,Traffic
9217211301,89404,On Time,-3.0,1.26,
4501870609,42567,On Time,5.0,2.15,Traffic
838401679,83793,Slightly Delayed,15.0,3.0,Traffic
9587315528,92673,On Time,5.0,1.12,Traffic
3122936945,65301,On Time,-1.0,0.97,
6093390755,60889,On Time,3.0,1.17,Traffic
2032956677,17988,Slightly Delayed,7.0,3.45,Traffic
1488430001,40079,Slightly Delayed,14.0,3.83,Traffic
615391848,2990,On Time,-4.0,3.51,
8686093533,5503,On Time,-4.0,4.08,
7038758506,88037,On Time,5.0,3.71,Traffic
2385966456,8862,Slightly Delayed,7.0,3.99,Traffic
259622674,43788,On Time,5.0,4.25,Traffic
2580381935,19165,On Time,0.0,0.56,
5035471587,221,On Time,1.0,3.86,Traffic
9421270813,26657,On Time,5.0,4.69,Traffic
1831516625,25932,Slightly Delayed,7.0,4.68,Traffic
1918841793,10305,On Time,-4.0,2.34,
1757159071,38383,Slightly Delayed,8.0,1.28,Traffic
7589464630,17706,Slightly Delayed,9.0,4.41,Traffic
1577085460,52709,On Time,-3.0,2.54,
2279018877,88797,Slightly Delayed,14.0,3.4,Traffic
7431412128,77224,On Time,3.0,2.93,Traffic
8781520615,42606,On Time,1.0,1.71,Traffic
1276192882,15637,On Time,-3.0,4.08,
4065794921,43280,Significantly Delayed,25.0,2.02,Traffic
1690800946,16850,On Time,2.0,0.73,Traffic
877883470,55423,Slightly Delayed,8.0,1.93,Traffic
7322044533,92064,Slightly Delayed,12.0,4.98,Traffic
5243163885,12230,On Time,3.0,2.88,Traffic
4360255357,68222,Slightly Delayed,8.0,3.72,Traffic
9623306038,56254,On Time,-1.0,3.54,
6282385286,9399,On Time,4.0,2.21,Traffic
1001900652,85241,Slightly Delayed,13.0,0.53,Traffic
5161988291,53927,On Time,-5.0,4.28,
3597752998,71654,On Time,0.0,3.13,
9074325310,83788,On Time,5.0,3.35,Traffic
